earn,height,gender,race,ed,age
63846,67.11,male,white,14,29
33822,68.29,female,african-american,9,66
1994,64.96,female,african-american,6,71
192808,65.97,female,african-american,16,47
38102,74.3,male,african-american,16,45
81490,65.19,female,white,18,65
71932,62.73,female,african-american,14,77
1998,61.64,female,white,12,42
25576,67.82,male,white,17,29
8390,65.65,female,white,16,25
61156,64.93,female,white,16,30
65596,62.44,female,white,14,24
317958,72.74,male,white,18,41
161016,61.91,female,white,15,44
85812,69.7,male,white,12,46
5220,57.34,female,african-american,12,62
57128,67.72,male,white,12,24
56052,66.98,female,white,14,27
33774,64.44,female,white,12,78
44414,69.86,male,white,14,39
22984,72.53,male,white,14,70
2048,62.99,female,asian,8,56
106930,63.3,female,white,17,43
73158,65.62,male,white,12,38
33778,64.78,female,white,12,45
69878,61.12,male,white,12,28
43320,60.56,female,hispanic,12,23
106920,66.74,female,white,12,35
114300,72.79,male,white,12,40
33798,71.17,female,african-american,14,36
21096,64.19,female,white,12,64
40180,67.44,female,white,12,47
33802,61.76,female,white,11,51
68802,67.26,female,white,12,49
82728,69.02,male,white,12,36
71984,65.97,female,african-american,12,54
75142,65.72,female,african-american,15,58
63766,66.22,male,white,15,28
33820,65.99,female,white,13,42
49648,63.89,female,white,12,75
22416,71.87,male,african-american,14,28
49718,63.83,female,white,12,42
1974,64.33,female,white,12,64
84680,64.83,female,white,16,38
31922,71.79,male,white,11,35
1966,63.12,female,white,8,61
9508,71.2,male,white,14,24
87828,63.72,female,hispanic,17,45
91044,64,female,white,17,29
49696,66.95,female,white,12,31
174946,75.04,male,white,18,34
65646,65.68,female,hispanic,17,30
29050,67.11,female,white,12,48
2000,68.09,female,white,12,62
95366,71.41,male,white,16,34
2004,61.88,female,white,12,70
65602,67.96,female,white,12,35
69896,69.77,male,white,6,79
79646,67.17,male,white,16,30
1954,63.77,female,white,16,66
9516,70.99,male,white,8,26
52876,62.96,female,white,12,53
2026,64.14,female,white,12,61
33758,60.61,female,african-american,12,43
49710,65.34,female,african-american,12,32
89028,66.96,male,white,12,50
100028,65.18,male,white,14,39
301936,66.3,male,white,18,56
120824,66.64,male,white,12,44
95322,73.89,male,white,12,45
114112,73.95,male,white,16,46
40192,66.07,female,white,13,26
33818,69.12,female,white,16,29
145088,66.05,female,white,18,48
127162,74.27,male,white,16,60
68586,71.96,male,white,12,31
44300,66.26,male,white,12,66
120984,67.04,male,asian,17,58
5164,64.79,female,white,12,22
44482,65.29,male,white,12,77
49674,64.98,female,white,12,35
2034,62.58,female,hispanic,12,67
78336,68.21,female,white,13,46
16324,64.15,female,white,16,27
59256,63.68,female,white,16,67
46522,63.15,female,white,12,24
33806,69.06,female,white,12,32
32216,66.91,female,white,12,36
37034,63.1,female,white,15,70
54202,66.96,male,white,12,71
21118,60.23,female,white,13,32
9944,62.24,female,white,11,62
127012,71.88,male,white,16,45
1994,67.74,female,white,14,39
79412,66.88,male,white,16,43
91046,66,female,african-american,15,64
106942,66.07,female,african-american,12,49
14742,59.64,female,white,8,68
1964,67.19,female,white,12,33
13058,65.47,male,white,16,34
81504,69.11,female,white,12,86
101728,72.15,male,white,12,32
43348,63.41,female,white,8,62
25396,63.81,male,hispanic,8,31
1976,61.66,female,asian,17,30
1986,64.93,female,white,13,60
56072,64.08,female,white,12,42
49696,67.41,female,white,12,81
57180,65.71,male,white,13,36
38238,73.4,male,white,12,28
22124,73.87,male,white,7,53
2014,65.63,female,white,12,28
5820,65.08,female,white,14,26
-56,72.29,male,white,12,22
2000,64.09,female,white,12,22
44658,62.91,male,white,12,25
56058,62.85,female,white,12,44
95530,66.04,male,white,12,46
134,72.38,male,white,10,67
79358,70.12,male,white,12,57
71958,66.07,female,hispanic,12,37
49714,62.92,female,white,12,25
85926,72.94,male,white,12,95
65592,63.26,female,white,16,30
30584,68.74,female,white,11,38
1990,66.3,female,white,14,28
54112,72.35,male,white,12,34
7688,67.86,female,white,12,50
59240,64.07,female,white,12,50
81486,63.38,female,white,18,46
63690,70.34,male,african-american,16,45
240480,63.8,female,white,15,44
13112,66.3,female,white,12,44
116456,60.76,female,white,12,75
95372,72.2,male,white,12,29
81468,64.77,female,white,13,82
5188,63.79,female,white,14,30
190914,67.82,male,white,12,70
111292,73.86,male,white,13,80
28428,67.14,male,white,13,37
111424,70.13,male,white,9,88
36976,66.21,female,white,10,62
38262,70.93,male,white,12,56
95450,70.96,male,white,12,47
60504,71.1,male,african-american,7,61
28352,73.37,male,white,9,65
95560,75.01,male,white,16,33
1976,62.18,female,white,12,37
28600,71.72,male,white,12,36
49720,65.36,female,hispanic,16,34
27426,64.8,female,african-american,12,35
33770,65.91,female,white,10,79
104998,72.14,male,white,12,41
40192,59.98,female,hispanic,12,32
59248,64.12,female,white,15,41
97398,65,female,white,13,65
41770,64.94,female,white,12,36
33786,62.1,female,african-american,12,40
27246,67.76,male,african-american,13,75
66714,72.91,male,african-american,14,50
2006,62.98,female,white,12,33
68796,63.58,female,white,12,81
2000,65.81,female,white,13,28
68778,67.92,female,white,17,29
2008,63.1,female,white,13,43
17902,65.83,female,white,12,56
71956,70.85,female,white,17,40
95492,72.99,male,white,14,30
2020,64.17,female,white,12,32
393138,61.32,female,white,14,62
27442,62.68,female,white,9,49
2024,63.12,female,white,9,58
1990,61.78,female,white,8,60
8362,64.29,female,white,9,29
26160,67.15,female,white,6,66
2004,66.59,female,white,12,22
1984,60.73,female,white,18,49
33816,63.28,female,white,12,29
111274,73.11,male,white,12,52
49706,66.06,female,white,16,61
14736,70.2,female,white,12,26
51000,68.08,male,white,8,28
2628,66.84,female,white,12,37
73246,74.3,male,white,16,29
52852,64.28,female,white,16,31
1964,61.11,female,white,12,31
1994,66.34,female,white,12,56
21122,59.71,female,white,12,53
3880,59.32,female,white,9,50
1992,62.15,female,african-american,16,40
1992,61.78,female,african-american,14,65
2008,61.56,female,white,12,29
88894,74.83,male,asian,16,38
14744,65.92,female,white,8,70
47816,64.37,male,white,12,39
47596,71.15,male,white,12,29
1998,60.96,female,white,10,39
81516,63.02,female,white,12,34
49694,67.2,female,white,12,30
127096,69.24,male,white,11,48
95414,69.64,male,white,11,55
17920,66.11,female,white,12,33
111292,73.98,male,white,14,38
52894,65.03,female,white,14,35
91020,63.49,female,white,16,44
63502,68.1,male,white,15,46
66694,66.19,male,white,13,34
54098,69.33,male,african-american,12,46
78336,59.75,female,white,13,54
81486,60.61,female,white,12,79
127132,74.98,male,white,12,50
1998,63.01,female,hispanic,9,27
-198,69.12,male,white,13,24
1986,66.14,female,white,16,67
27438,63.71,female,white,13,23
62430,63.03,female,hispanic,15,49
145080,66.94,female,white,16,73
15694,64.33,male,african-american,17,37
-2,72.17,male,white,14,25
78332,62.96,female,african-american,14,44
17880,67.04,female,white,14,23
105040,66.08,male,white,16,38
78296,64.56,female,white,14,28
21048,63.36,female,white,13,27
288172,65.88,female,white,14,59
1960,64.16,female,white,16,49
183256,64.19,female,white,18,51
43844,70.93,male,white,14,58
95298,70.72,male,white,18,41
47618,71.85,male,white,12,44
49722,59.96,female,white,14,79
98472,69.77,male,white,12,33
104844,73.93,male,white,17,44
95416,67.96,male,white,18,65
38300,74.1,male,white,12,42
16024,74.88,male,white,12,26
66776,67.89,male,white,12,63
91060,62.98,female,white,18,50
38064,71.81,male,white,12,35
62414,63.68,female,white,12,50
21114,63.04,female,white,14,39
18862,66.18,female,white,13,64
49706,60.98,female,white,13,32
1994,61.73,female,white,12,33
54020,72.76,male,white,12,50
16932,66.1,female,african-american,12,82
2016,68.26,female,white,12,22
32250,62.28,female,white,12,69
5270,65.16,male,white,12,26
1980,63.19,female,white,14,47
19152,62.32,female,white,12,35
31784,68.15,male,white,12,35
81490,59.15,female,white,15,87
1998,62.21,female,white,12,43
2028,64.5,female,white,9,67
113312,68.12,female,white,16,47
91048,62.53,female,white,18,48
135524,63.24,female,white,12,44
143218,67.85,male,white,12,62
176908,63.83,female,white,12,55
116456,69.89,female,white,16,34
79716,69.96,male,white,10,35
60324,72.16,male,white,12,32
120864,69.34,male,white,11,54
49700,63.19,female,white,14,41
16326,58.09,female,white,5,89
307272,62.98,female,white,14,31
36996,63.11,female,white,12,51
28612,72.86,male,white,15,38
17892,68.91,female,white,14,28
159082,69.52,male,white,12,55
2016,65.89,female,white,12,63
1968,65.91,female,white,16,66
21074,64.96,female,white,13,48
317860,72.38,male,white,13,26
54440,62.05,female,white,13,50
-52,68.9,male,white,12,22
101756,71.69,male,white,14,44
95418,73.13,male,white,18,45
33814,68.19,female,white,16,46
2004,63.62,female,white,12,39
49752,65.8,female,white,12,23
22678,59.92,female,white,8,87
84692,60.31,female,white,18,67
56006,65.03,female,white,12,63
71958,62.73,female,asian,18,63
33810,64.38,female,white,12,45
159046,70.81,male,white,14,62
63580,67.43,male,white,12,39
2004,66.78,female,white,13,63
3284,62.86,female,white,12,35
52868,64.82,female,white,14,63
33752,65.85,female,white,12,70
46524,63.38,female,white,13,62
17870,65.04,female,white,15,24
127140,73.88,male,white,16,38
17862,67.27,female,white,13,59
81504,67.65,female,white,17,51
40184,65.17,female,white,12,55
186466,63.72,female,white,16,38
59264,67.94,female,white,16,30
3158,64.53,male,white,12,22
66868,72.24,male,white,17,51
35010,65.73,male,african-american,12,66
43326,63.69,female,white,12,40
1984,63.63,female,white,12,57
65620,59.61,female,asian,16,92
79658,72.52,male,african-american,12,39
3890,63.78,female,white,12,47
79388,67.03,male,african-american,14,30
114586,68,male,white,12,32
49708,64.02,female,asian,13,37
13132,66.16,female,white,12,55
62432,64.55,female,white,16,38
197118,70.02,male,white,14,58
79546,69.94,male,white,12,46
159016,65.79,male,white,12,56
2006,64.24,female,white,12,32
2004,66.3,female,white,13,30
127066,66.06,male,white,12,65
82568,74.15,male,white,18,30
71964,62.35,female,white,12,52
68786,65.53,female,white,17,43
21438,61.53,female,white,12,69
97400,64.8,female,african-american,18,68
21052,63.02,female,white,12,82
85744,71.38,male,white,16,33
14758,66.01,female,white,16,46
16054,62.04,female,asian,6,76
2000,61.82,female,white,12,80
17886,62.97,female,white,10,91
2042,64.72,female,white,9,79
143076,67.4,male,white,18,44
59274,60.78,female,white,14,49
21078,65.8,female,white,15,26
1976,61.2,female,white,12,53
44506,71.68,male,white,12,28
113290,69.27,female,white,14,28
49704,64.25,female,white,16,33
40148,62.75,female,african-american,12,33
5200,60.24,female,white,12,51
101666,69.42,male,african-american,15,37
4792,73.13,male,white,12,23
11536,65.09,female,african-american,16,27
113284,63.69,female,white,12,46
1982,63.03,female,white,12,49
1998,62.86,female,white,16,33
222412,72.18,male,white,15,52
68800,66.98,female,white,16,32
159154,68.85,male,white,11,22
47648,70.75,male,white,9,25
-112,67.81,male,hispanic,10,22
-132,72.92,male,african-american,12,24
30634,65.87,female,african-american,8,39
33812,63.17,female,african-american,14,29
2028,65.3,female,white,12,64
95482,70.88,male,white,12,51
50904,72.11,male,white,14,25
63754,67.72,male,white,12,55
2006,63.82,female,white,12,49
317992,71.83,male,white,17,58
33780,65.61,female,white,12,47
111270,66.11,male,white,14,67
24232,64.71,female,white,16,35
2014,65,female,white,12,66
2020,66.17,female,white,12,56
1982,64.87,female,white,11,42
25442,71.39,male,african-american,14,31
34954,74.38,male,white,10,54
79530,69.77,male,white,9,51
81480,63.82,female,white,14,49
95542,69,male,white,14,52
52,66.02,male,white,12,30
154624,62.62,female,white,18,38
56082,68.02,female,white,12,50
2012,70.7,female,white,8,74
82868,72.86,male,white,16,28
33792,63.35,female,white,12,65
1992,65.19,female,white,11,61
190702,71.05,male,white,18,57
71956,65.36,female,white,18,33
21722,64.03,female,white,13,87
78336,65.22,female,white,16,36
63578,71.41,male,white,14,44
24274,69.85,female,white,14,34
-60,72.38,male,african-american,12,23
97378,67.71,female,african-american,16,52
75126,65.88,female,white,18,32
65642,63.71,female,white,12,44
11560,66.19,female,white,16,33
2000,62.82,female,white,12,35
95566,70.35,male,white,16,45
40152,64.23,female,white,14,27
1986,66.15,female,white,7,45
2050,63.26,female,white,10,41
127026,71.25,male,white,12,42
49720,64.02,female,white,14,27
116452,62.42,female,white,16,49
33780,65.5,female,white,12,57
1992,63.08,female,white,11,69
43338,67.98,female,white,14,52
2020,64.88,female,white,12,63
2022,60.61,female,white,14,45
33788,61.77,female,african-american,12,31
95390,68.89,male,african-american,12,41
73188,64.16,male,white,13,36
63666,69.63,male,white,17,72
62432,64.6,female,white,13,86
63636,61.21,male,african-american,11,70
88932,63.44,male,african-american,14,67
43364,65.14,female,white,10,84
38240,63.61,male,white,12,79
63520,69.06,male,white,11,27
79578,73.88,male,white,12,34
81472,67.8,female,white,13,56
2008,67.65,female,white,12,38
2028,64.91,female,white,14,45
59242,66.87,female,white,16,44
1978,64.71,female,white,12,22
1990,64.18,female,white,18,50
21060,62.09,female,white,10,72
50854,72.05,male,white,13,27
143028,73.05,male,white,16,42
79614,69.94,male,white,14,73
40148,63.99,female,white,14,42
8322,67.87,female,white,12,22
33782,62.86,female,white,12,22
44574,71.18,male,white,12,40
49704,64.41,female,white,12,35
1990,67.35,female,white,11,41
33804,59.77,female,white,12,43
5838,65.51,female,white,4,68
49702,59.01,female,white,14,66
33802,62.86,female,white,13,68
6326,66.3,male,white,12,22
2012,66.21,female,white,12,39
14732,64.7,female,white,13,37
33788,63.96,female,white,14,36
6788,65.78,female,white,12,27
57248,66.33,male,hispanic,17,30
12792,72.99,male,white,15,28
89050,71.76,male,white,16,30
33828,74.3,female,white,14,26
11546,65.06,female,white,16,26
1998,63.53,female,white,14,35
38040,71.06,male,white,12,25
62396,68.08,female,white,13,49
2016,61.35,female,white,12,37
114524,69.77,male,white,16,43
24308,64.19,female,white,16,63
113312,59.16,female,white,11,38
127016,68.27,male,white,18,47
47792,68.31,male,white,14,29
27436,69.24,female,white,13,47
81488,69.02,female,white,14,59
89024,75.02,male,white,18,42
70112,68.75,male,white,14,39
68332,72.1,male,african-american,13,28
11544,68.35,female,white,12,27
73156,71.74,male,white,13,32
57436,71.88,male,white,12,77
63418,66.61,male,white,16,75
52864,63.23,female,hispanic,12,50
47636,68.62,male,white,12,30
170538,62.85,female,hispanic,17,36
82700,71.99,male,white,12,31
14730,64.81,female,asian,12,32
31618,72.98,male,white,16,63
136660,69.06,male,white,12,55
54262,69.07,male,asian,14,37
14728,60.66,female,hispanic,12,42
158972,72.8,male,white,15,52
176912,67.03,female,white,18,55
91016,62.91,female,white,16,45
1996,66.09,female,white,12,52
17902,61.87,female,white,14,52
59230,65.05,female,white,13,53
66772,71.65,male,hispanic,15,66
40172,66.91,female,white,12,37
106964,65.46,female,hispanic,16,66
159166,71.73,male,hispanic,13,68
21086,65.35,female,hispanic,9,78
52866,63.98,female,white,14,63
111332,67.76,male,white,12,54
81502,68.43,female,white,12,47
63558,75.89,male,white,14,30
59238,63.28,female,white,12,40
108064,73.66,male,white,14,82
79440,67.95,male,white,16,29
63580,72.13,male,white,17,81
105114,68.05,male,white,12,73
14724,65.15,female,white,12,77
65644,59.85,female,white,8,81
127258,71.62,male,white,16,37
46546,63.92,female,white,14,44
40140,68.19,female,white,12,52
81506,60.68,female,white,12,35
224586,67.16,female,white,10,76
122862,67.35,female,white,17,59
46546,62.89,female,white,12,32
2012,63.08,female,white,15,37
49734,59.74,female,white,13,41
54104,74.2,male,white,16,35
190708,69.22,male,white,14,70
49724,66.82,female,white,15,73
79516,64.79,male,white,16,90
57226,62.2,male,hispanic,12,67
-4,64.92,male,white,12,59
222572,72.19,male,white,18,51
1976,66.04,female,hispanic,11,53
97376,65.16,female,white,18,63
27428,61.86,female,white,12,55
95482,70.87,male,white,16,38
1998,62.2,female,white,11,30
85882,71.11,male,white,14,36
149414,70.24,male,white,18,47
38074,67.15,male,hispanic,12,26
78316,62.05,female,white,17,38
43330,63.05,female,hispanic,12,39
256434,60.94,female,white,14,41
15870,71.42,male,white,12,22
2004,64.92,female,white,12,32
81522,63.15,female,white,10,64
89066,66.12,male,white,12,48
27392,64.1,female,white,15,24
33762,65.96,female,white,13,55
30594,68.23,female,white,14,45
65570,60.26,female,white,12,41
38108,65.21,male,white,12,75
49708,64.69,female,white,14,70
65578,60.64,female,white,14,40
91052,64.01,female,white,14,40
2864,65.79,female,white,15,25
111388,68.99,male,white,14,78
84684,65.93,female,hispanic,14,36
87868,66.67,female,white,17,38
46526,68.63,female,white,12,34
101818,65.76,male,white,16,37
33812,68.97,female,white,14,36
22244,69.72,male,white,16,34
88984,71.03,male,white,17,50
190802,73.8,male,white,13,58
38102,68.91,male,white,4,66
2028,65,female,white,13,67
1992,65.21,female,white,12,50
49716,74.88,female,white,13,79
47726,71.57,male,white,11,67
84644,64.12,female,white,15,36
1986,58.99,female,african-american,12,47
-100,70.96,male,asian,12,24
82576,71.91,male,hispanic,16,29
61536,63.23,female,african-american,10,40
2002,68.29,female,african-american,12,26
40160,63.8,female,african-american,12,77
254454,69.95,male,white,17,43
154620,66.06,female,white,13,43
57150,62.05,male,asian,16,31
270276,70.25,male,white,15,69
113316,64.13,female,african-american,12,51
16054,68.63,male,white,16,26
30618,63.81,female,hispanic,13,26
97416,66.66,female,white,16,31
254554,72.18,male,white,14,62
113286,65.09,female,white,16,36
40170,62.95,female,white,14,38
635898,70.24,male,white,18,38
14752,63.98,female,white,16,49
6400,68.07,male,white,12,22
78338,66.02,female,white,18,73
6256,65.48,male,hispanic,15,27
47816,70.4,male,white,17,34
21066,61.49,female,white,12,69
15740,65.83,male,white,12,79
6752,65.86,female,hispanic,12,25
91018,63.86,female,white,18,52
30580,69.81,female,white,12,39
190806,74.25,male,white,14,56
3778,66.1,male,white,12,23
6448,62.09,female,hispanic,3,68
24266,65.95,female,white,13,47
68798,62.01,female,white,12,35
139932,68.9,male,white,12,62
92288,68.08,male,african-american,16,40
9534,72.33,male,hispanic,14,22
38172,64.04,male,african-american,13,26
1978,64.1,female,african-american,16,23
2002,59.57,female,hispanic,9,43
63720,72.28,male,hispanic,12,32
5826,61.72,female,african-american,5,77
117626,74.52,male,white,16,29
25444,65.93,male,asian,10,64
111194,68.04,male,hispanic,16,34
79376,61.89,male,asian,14,41
59202,71.22,female,white,10,33
97398,62.99,female,african-american,16,40
63526,68.73,male,white,18,73
38352,70.83,male,hispanic,6,44
2008,64.17,female,hispanic,12,69
33796,66.07,female,white,12,72
57186,72.31,male,white,14,52
1972,62.46,female,hispanic,15,63
63736,71.49,male,african-american,12,30
100586,67.94,female,white,16,47
19042,64.41,male,hispanic,10,40
2008,64.37,female,white,12,42
38190,69.52,male,white,13,44
43344,65.56,female,white,16,37
84684,67.01,female,white,17,38
49714,67.82,female,african-american,11,35
97388,64.07,female,white,17,32
8398,65.01,female,white,14,45
15752,69.78,male,asian,13,26
170498,71.28,female,white,14,30
1988,63.83,female,white,12,40
8318,61.54,female,white,13,22
79576,70.48,male,white,17,33
16114,73.65,male,white,12,22
68764,64.86,female,white,13,31
56076,70,female,white,15,31
40174,63.81,female,white,13,41
133544,70.25,male,hispanic,14,48
66836,74.3,male,white,12,37
21064,63.14,female,hispanic,12,69
1990,59.23,female,hispanic,12,50
79582,73.85,male,white,14,28
11506,66.17,female,white,14,23
13446,64.94,female,white,15,71
12748,70.59,male,white,12,23
63758,69.07,male,white,14,62
165424,60.14,male,white,15,54
192814,64.37,female,white,12,47
49680,63.84,female,white,13,45
286082,72.27,male,white,16,54
84698,61.38,female,white,14,69
2026,62.68,female,hispanic,13,36
6306,69.16,male,white,12,25
52870,66.82,female,white,12,65
78332,65.15,female,hispanic,11,31
47812,67.55,male,hispanic,16,32
133540,74.1,male,white,17,47
2016,62.35,female,white,15,52
33804,64.83,female,white,12,47
54088,70.96,male,hispanic,13,40
97404,64.03,female,white,14,38
2002,64.92,female,white,16,26
103748,68.84,female,white,17,41
116470,63.6,female,hispanic,17,38
31732,71.9,male,hispanic,13,24
65584,63.12,female,white,15,33
78320,64.93,female,white,12,33
54088,72.12,male,white,12,36
75184,64.49,female,white,14,52
81496,63.91,female,white,12,37
159206,71.36,male,white,12,54
2012,63.48,female,white,14,43
65588,61.82,female,white,12,34
97386,66.01,female,white,16,37
24276,63.95,female,white,10,43
22352,66.99,male,white,10,82
95548,67.79,male,white,11,36
11522,66.38,female,white,12,28
65598,65.97,female,white,14,47
129216,65.68,female,white,16,63
31798,67.02,male,white,12,81
50724,66.1,male,white,12,41
36966,63.27,female,white,9,55
52866,67.89,female,white,13,47
57290,70.32,male,white,12,31
40130,62.98,female,white,16,30
12710,70.09,male,african-american,14,25
190834,71.92,male,white,12,49
136858,74.92,male,white,17,44
100598,61.97,female,white,14,43
161036,67.98,female,white,17,43
87840,68.18,female,white,14,33
95424,69.85,male,white,17,60
38366,73.26,male,african-american,13,25
1974,69.01,female,white,16,43
65596,62.37,female,white,17,34
49698,60.3,female,african-american,12,80
81516,64.17,female,asian,16,41
8368,60.19,female,hispanic,6,71
9512,72.94,male,hispanic,15,24
351802,65.9,female,asian,18,52
174948,68.82,male,white,18,75
184412,69.62,male,white,18,57
33812,70.08,female,white,16,40
60346,71.68,male,white,12,33
49708,61.31,female,white,18,86
27422,63.64,female,white,12,37
190852,71.65,male,white,12,54
19150,68.22,male,white,12,31
